Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
1000,,,Instruction,,,,,
1000,1100,,Regular Programs - Elementary / Secondary,,,,,
1000,1100,100,Personnel Services - Salaries,"17,362,829","17,071,462","17,177,006","16,881,714","17,138,748"
1000,1100,200,Personnel Services - Employee Benefits,"11,296,301","10,644,650","10,461,446","9,663,097","8,900,646"
1000,1100,300,Purchased Professional and Technical Services,"199,285","231,356","171,481","175,312","128,010"
1000,1100,400,Purchased Property and Services,"17,942","19,045","17,113","20,435","18,550"
1000,1100,500,Other Purchased Services,"374,931","260,266","357,131","517,458","524,637"
1000,1100,600,Supplies,"528,627","576,905","548,854","630,917","844,611"
1000,1100,700,Property,0,"83,422",0,"249,400","50,200"
1000,1100,800,Other Objects,"21,059","9,935","12,315","7,500","5,000"
Totals,,,,"29,800,974","28,897,041","28,745,346","28,145,833","27,610,402"
1000,1200,,Special Programs - Elementary / Secondary,,,,,
1000,1200,100,Personnel Services - Salaries,"5,436,119","5,210,605","4,973,974","4,834,689","4,641,490"
1000,1200,200,Personnel Services - Employee Benefits,"3,141,075","3,058,958","2,916,467","2,706,308","2,459,634"
1000,1200,300,Purchased Professional and Technical Services,"547,134","639,046","851,439","749,309","940,419"
1000,1200,400,Purchased Property and Services,"155,911","171,167","211,037","205,648","174,450"
1000,1200,500,Other Purchased Services,"2,236,773","2,032,496","1,544,336","1,484,127","1,233,775"
1000,1200,600,Supplies,"51,255","34,624","57,571","54,277","44,606"
1000,1200,700,Property,0,0,0,0,"6,066"
1000,1200,800,Other Objects,"102,250","50,980","26,200","26,450","50,100"
Totals,,,,"11,670,517","11,197,876","10,581,024","10,060,808","9,550,540"
1000,1300,,Vocational Education,,,,,
1000,1300,500,Other Purchased Services,"986,424","1,001,738","1,110,602","1,095,435","1,009,661"
Totals,,,,"986,424","1,001,738","1,110,602","1,095,435","1,009,661"
1000,1400,,Other Instructional Programs - Elementary Secondary,,,,,
1000,1400,100,Personnel Services - Salaries,"254,019","247,706","259,076","214,200","40,786"
1000,1400,200,Personnel Services - Employee Benefits,"109,418","104,497","106,790","83,113","14,066"
1000,1400,300,Purchased Professional and Technical Services,"113,364","133,553","120,562","207,289","208,905"
1000,1400,500,Other Purchased Services,"117,420","81,400","14,313","45,150","40,100"
1000,1400,600,Supplies,0,,0,"4,200","4,200"
Totals,,,,"594,221","567,156","500,741","553,952","308,057"
1000,1500,,Nonpublic School Programs,,,,,
1000,1500,300,Purchased Professional and Technical Services,0,0,0,0,0
Totals,,,,0,0,0,0,0
1000,1600,,Other Instructional Programs - Elementary Secondary,,,,,
1000,1600,100,Personnel Services - Salaries,0,0,0,0,0
1000,1600,200,Personnel Services - Employee Benefits,0,0,0,0,0
1000,1600,300,Purchased Professional and Technical Services,0,0,0,0,0
1000,1600,500,Other Purchased Services,0,0,0,0,0
1000,1600,600,Supplies,0,0,0,0,0
Totals,,,,0,0,0,0,0
1000,1700,,Higher Education Programs,,,,,
1000,1700,500,Other Purchased Services,"378,739","371,101","363,980","371,311","326,859"
1000,1700,600,Supplies,0,0,0,"2,300",0
Totals,,,,"378,739","371,101","363,980","373,611","326,859"
1000,1800,,Pre-Kindergarten,,,,,
1000,1800,100,Personnel Services - Salaries,"205,595","142,046",0,0,0
1000,1800,200,Personnel Services - Employee Benefits,"113,316","81,359",0,0,0
1000,1800,300,Purchased Professional and Technical Services,"8,800","9,000",0,0,0
1000,1800,400,Purchased Property and Services,"6,000","8,548",0,0,0
1000,1800,500,Other Purchased Services,"1,450","1,150",0,0,0
1000,1800,600,Supplies,"52,947","138,364",0,0,0
1000,1800,700,Property,0,"8,500",0,0,0
1000,1800,800,Other Objects,"1,500","1,500",0,0,0
Totals,,,,"389,608","390,467",0,0,0
Totals 1000,,,,"43,820,483","42,425,379","41,301,693","40,229,639","38,805,519"
2000,,,Support Services,,,,,
2000,2100,,Support Services Students,,,,,
2000,2100,100,Personnel Services - Salaries,"1,828,670","1,741,055","1,810,405","1,890,552","1,910,379"
2000,2100,200,Personnel Services - Employee Benefits,"1,142,098","1,019,341","1,008,060","923,113","926,297"
2000,2100,300,Purchased Professional and Technical Services,"231,370","159,000","309,409","123,200","238,500"
2000,2100,400,Purchased Property and Services,0,0,"5,742",0,0
2000,2100,500,Other Purchased Services,"7,150","6,650","12,380","7,450","6,200"
2000,2100,600,Supplies,"25,991","26,495","24,922","35,022","37,675"
2000,2100,700,Property,0,0,0,"1,500","3,000"
2000,2100,800,Other Objects,"1,378","1,367","8,075","1,330","1,375"
Totals,,,,"3,236,657","2,953,908","3,178,993","2,982,167","3,123,426"
2000,2200,,Support Services - Instructional Staff,,,,,
2000,2200,100,Personnel Services - Salaries,"580,590","543,030","545,802","675,667","715,718"
2000,2200,200,Personnel Services - Employee Benefits,"434,504","438,986","387,503","454,794","453,294"
2000,2200,300,Purchased Professional and Technical Services,"74,435","32,653","13,861","53,135","75,819"
2000,2200,400,Purchased Property and Services,0,0,0,0,0
2000,2200,500,Other Purchased Services,"4,090","1,250","1,550","1,550","2,250"
2000,2200,600,Supplies,"81,954","88,265","64,161","38,226","37,125"
2000,2200,700,Property,"239,660","301,435","261,588","789,141","786,141"
2000,2200,800,Other Objects,0,0,0,0,0
Totals,,,,"1,415,233","1,405,619","1,274,465","2,012,513","2,070,347"
2000,2300,,Support Services - Administration,,,,,
2000,2300,100,Personnel Services - Salaries,"2,782,558","2,685,060","2,541,751","2,816,316","2,610,349"
2000,2300,200,Personnel Services - Employee Benefits,"1,775,915","1,785,107","1,756,537","1,682,682","1,533,846"
2000,2300,300,Purchased Professional and Technical Services,"195,064","145,149","152,749","133,069","105,924"
2000,2300,400,Purchased Property and Services,"2,710","2,232","2,365","2,370","2,425"
2000,2300,500,Other Purchased Services,"52,604","50,460","54,056","60,787","65,300"
2000,2300,600,Supplies,"61,722","45,022","46,080","42,850","37,705"
2000,2300,700,Property,0,0,0,500,"3,250"
2000,2300,800,Other Objects,"82,623","81,356","54,301","57,576","54,840"
Totals,,,,"4,953,196","4,794,386","4,607,839","4,796,150","4,413,639"
2000,2400,,Support Services - Pupil Health,,,,,
2000,2400,100,Personnel Services - Salaries,"556,397","527,629","498,057","485,595","465,856"
2000,2400,200,Personnel Services - Employee Benefits,"263,592","245,145","232,518",233453,"213,456"
2000,2400,300,Purchased Professional and Technical Services,"207,898","75,294","126,595","86,180","47,690"
2000,2400,400,Purchased Property and Services,0,0,0,0,0
2000,2400,500,Other Purchased Services,0,100,100,0,50
2000,2400,600,Supplies,"15,200","17,200","12,650","14,262","9,840"
2000,2400,700,Property,0,0,0,0,0
2000,2400,800,Other Objects,0,0,0,0,0
