Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
1000,,,Instruction,,,,,
1000,1100,,Regular Programs - Elementary / Secondary,,,,,
1000,1100,100,Personnel Services - Salaries,"31,933,525","30,834,287","29,804,637","29,110,111","28,576,432"
1000,1100,200,Personnel Services - Employee Benefits,"20,214,178","19,457,845","18,639,111","17,679,757","16,410,845"
1000,1100,300,Purchased Professional and Technical Services,"71,000","77,500","87,500","217,500","178,650"
1000,1100,400,Purchased Property and Services,"95,130","112,900","115,770","194,028","198,915"
1000,1100,500,Other Purchased Services,"837,400","822,400","825,400","789,247","820,678"
1000,1100,600,Supplies,"680,630","702,965","711,080","730,826","681,198"
1000,1100,700,Property,0,0,0,0,0
1000,1100,800,Other Objects,"12,699","10,600","11,800","13,599","25,784"
Totals,,,,"53,844,562","52,018,497","50,195,298","48,735,068","46,892,502"
1000,1200,,Special Programs - Elementary / Secondary,,,,,
1000,1200,100,Personnel Services - Salaries,"7,760,189","7,297,559","6,863,922","6,309,259","5,817,122"
1000,1200,200,Personnel Services - Employee Benefits,"4,604,800","4,334,475","4,066,929","3,645,777","3,202,821"
1000,1200,300,Purchased Professional and Technical Services,"2,520,410","2,471,000","2,371,500","2,561,500","2,562,500"
1000,1200,400,Purchased Property and Services,"6,400","6,675","6,675","8,175","8,345"
1000,1200,500,Other Purchased Services,"2,632,980","2,538,980","2,540,480","2,539,580","2,501,980"
1000,1200,600,Supplies,"84,650","83,000","98,130","81,950","107,550"
1000,1200,700,Property,0,0,0,0,0
1000,1200,800,Other Objects,"3,800","2,500","4,100","8,100","11,600"
Totals,,,,"17,613,229","16,734,189","15,951,736","15,154,341","14,211,918"
1000,1300,,Vocational Education,,,,,
1000,1300,500,Other Purchased Services,"1,139,100","1,060,000","1,138,554","1,083,792","949,804"
1000,1300,600,Supplies,0,0,0,0,0
Totals,,,,"1,139,100","1,060,000","1,138,554","1,083,792","949,804"
1000,1400,,Other Instructional Programs - Elementary Secondary,,,,,
1000,1400,100,Personnel Services - Salaries,"653,987","676,097","682,232","667,329","669,916"
1000,1400,200,Personnel Services - Employee Benefits,"326,557","341,873","327,697","287,973","278,860"
1000,1400,300,Purchased Professional and Technical Services,"20,000","26,500","147,500","150,000","163,000"
1000,1400,500,Other Purchased Services,"20,000","22,500","22,500","22,500","22,500"
1000,1400,600,Supplies,"10,950","16,500","21,000","15,250","18,800"
Totals,,,,"1,031,494","1,083,470","1,200,929","1,143,052","1,153,076"
1000,1500,,Nonpublic School Programs,,,,,
1000,1500,300,Purchased Professional and Technical Services,0,0,0,0,0
Totals,,,,0,0,0,0,0
1000,1600,,Other Instructional Programs - Elementary Secondary,,,,,
1000,1600,100,Personnel Services - Salaries,0,0,0,0,0
1000,1600,200,Personnel Services - Employee Benefits,0,0,0,0,0
1000,1600,300,Purchased Professional and Technical Services,0,0,0,0,0
1000,1600,500,Other Purchased Services,0,0,0,0,0
1000,1600,600,Supplies,0,0,0,0,0
Totals,,,,0,0,0,0,0
1000,1700,,Higher Education Programs,,,,,
1000,1700,500,Other Purchased Services,"560,000","520,131","509,475","506,329","501,265"
Totals,,,,"560,000","520,131","509,475","506,329","501,265"
Totals 1000,,,,"74,188,385","71,416,287","68,995,992","66,622,582","63,708,565"
2000,,,Support Services,,,,,
2000,2100,,Support Services Students,,,,,
2000,2100,100,Personnel Services - Salaries,"2,802,084","2,420,457","2,249,525","2,275,799","2,201,105"
2000,2100,200,Personnel Services - Employee Benefits,"1,693,125","1,514,559","1,412,464","1,356,141","1,245,983"
2000,2100,300,Purchased Professional and Technical Services,"166,500","166,500","166,500","146,600","146,200"
2000,2100,400,Purchased Property and Services,0,0,0,0,350
2000,2100,500,Other Purchased Services,"4,500","4,500","4,500","4,500","3,700"
2000,2100,600,Supplies,"28,550","29,550","29,550","29,550","24,650"
2000,2100,700,Property,0,0,0,0,0
2000,2100,800,Other Objects,"1,300",300,300,300,"2,050"
Totals,,,,"4,696,059","4,135,866","3,862,839","3,812,890","3,624,038"
2000,2200,,Support Services - Instructional Staff,,,,,
2000,2200,100,Personnel Services - Salaries,"598,856","559,711","554,617","605,152","575,091"
2000,2200,200,Personnel Services - Employee Benefits,"359,470","332,360","329,184","354,885","323,812"
2000,2200,300,Purchased Professional and Technical Services,"15,000","34,200","34,200","46,200","46,200"
2000,2200,400,Purchased Property and Services,0,0,0,0,0
2000,2200,500,Other Purchased Services,500,"3,500","3,500","3,500","3,600"
2000,2200,600,Supplies,"278,585","44,960","43,485","41,005","41,520"
2000,2200,700,Property,0,0,0,0,0
2000,2200,800,Other Objects,"1,045","2,050","2,045","2,045","1,930"
Totals,,,,"1,253,456","976,781","967,031","1,052,787","992,153"
2000,2300,,Support Services - Administration,,,,,
2000,2300,100,Personnel Services - Salaries,"3,962,029","3,874,888","3,815,665","3,720,372","3,663,962"
2000,2300,200,Personnel Services - Employee Benefits,"2,687,145","2,682,862","2,619,922","2,472,976","2,422,116"
2000,2300,300,Purchased Professional and Technical Services,"136,000","146,400","147,150","147,150","152,006"
2000,2300,400,Purchased Property and Services,"3,200","4,500","4,200","2,200","2,200"
2000,2300,500,Other Purchased Services,"127,100","125,650","128,560","134,190","135,480"
2000,2300,600,Supplies,"62,710","78,090","76,840","71,240","81,981"
2000,2300,700,Property,0,0,0,0,0
2000,2300,800,Other Objects,"50,700","50,500","50,250","47,250","46,200"
Totals,,,,"7,028,884","6,962,890","6,842,587","6,595,378","6,503,945"
2000,2400,,Support Services - Pupil Health,,,,,
2000,2400,100,Personnel Services - Salaries,"1,008,341","939,877","889,870","862,630","862,199"
2000,2400,200,Personnel Services - Employee Benefits,"665,936","640,310","606,381","568,359","526,164"
2000,2400,300,Purchased Professional and Technical Services,"4,100","4,100","4,100","4,100","4,100"
2000,2400,400,Purchased Property and Services,"1,100","1,100","1,100","1,100","1,100"
2000,2400,500,Other Purchased Services,"6,000","6,000","6,000","5,000","5,000"
2000,2400,600,Supplies,"13,950","13,950","13,950","13,950","13,950"
2000,2400,700,Property,0,0,0,0,0
2000,2400,800,Other Objects,250,250,250,250,250
Totals,,,,"1,699,677","1,605,587","1,521,651","1,455,389","1,412,763"
2000,2500,,Support Services - Business,,,,,
2000,2500,100,Personnel Services - Salaries,"558,710","544,325","535,100","503,388","499,263"
2000,2500,200,Personnel Services - Employee Benefits,"410,211","399,817","381,171","350,033","336,454"
2000,2500,300,Purchased Professional and Technical Services,"12,000","12,000","7,000","7,000","7,000"
2000,2500,400,Purchased Property and Services,"146,800","126,800","122,780","141,500","142,000"
2000,2500,500,Other Purchased Services,"3,250","3,250","4,750","5,000","4,500"
